id,season,city,team1,team2,toss_winner,toss_decision,winner,batting1_runs,batting2_runs,batting1_super_over,batting2_super_over,bowling1_extras,bowling2_extras,p1,p2,SAB,team1_bat_score,team2_bat_score,team1_ball_score,team2_ball_score
132,2009,14,1,2,1,1,1,187,95,0,0,9,4,100,0,0.140103675,6.360073956,6.065360459,6.672924821,6.062672638
133,2009,16,7,6,7,1,6,143,147,0,0,5,9,0,0,-0.157024188,5.040034603,6.277014498,5.48420718,5.103637694
134,2009,15,2,3,2,1,3,139,143,0,0,9,9,100,0,-0.076577634,8.716027094,6.476495067,5.057681652,7.239532999
135,2009,15,9,1,9,1,9,119,116,0,0,17,11,0,0,-0.122698555,5.938165911,6.232297154,7.17280307,7.958084194
136,2009,16,4,7,7,0,7,148,150,0,0,11,12,0,100,0.450360737,7.068354494,5.079943625,6.080868127,5.497420003
137,2009,16,5,6,6,0,5,164,126,0,0,5,8,0,100,-0.283076081,4.852642796,6.693601434,5.91949438,5.724505505
138,2009,17,1,2,1,1,1,148,139,0,0,13,8,100,0,-0.19023622,5.481767018,8.5833101,7.802048711,6.024587167
139,2009,15,3,9,3,1,3,145,137,0,0,6,13,0,100,0.328824945,8.967501899,6.535349714,5.341437116,5.776749423
140,2009,14,4,6,4,1,6,141,142,0,0,7,7,0,100,-0.12913532,6.828039657,6.644707954,5.898571793,6.846119874
141,2009,18,5,7,7,0,5,163,145,0,0,9,3,0,0,0.728692948,6.765596174,4.905915145,6.819989718,4.672255503
142,2009,14,2,9,2,1,9,153,154,0,0,7,10,0,0,0.728214605,8.618342946,6.089474747,5.810863568,4.852230134
143,2009,18,1,3,1,1,3,149,150,0,0,6,8,0,0,0.052003928,4.951152166,6.193061054,7.300018726,5.499042196
144,2009,17,5,4,5,1,5,178,100,0,0,10,7,0,0,-0.494572699,6.074954107,7.868953198,5.875711921,7.192177591
145,2009,15,6,9,9,0,6,211,133,0,0,4,19,0,0,0.045650629,6.315073216,7.384380976,6.851400492,5.621182656
146,2009,15,2,7,2,1,7,154,157,0,0,4,8,100,0,0.692580163,6.838954624,3.495305231,3.815760925,4.251500028
147,2009,16,4,1,4,1,4,145,126,0,0,9,3,0,0,0.024805725,7.928966403,6.909200082,7.387466459,8.258776673
148,2009,16,3,6,6,0,6,105,107,0,0,5,3,0,0,0.023634882,7.669425443,5.440671442,5.794745561,7.967967127
149,2009,16,5,9,5,1,5,185,174,0,0,6,6,100,0,-0.054152883,5.289306838,6.217826838,6.412598851,5.777671567
150,2009,17,1,7,1,1,7,116,118,0,0,13,6,0,0,0.548033218,5.725824291,4.44295329,7.269810116,4.939528277
151,2009,19,4,9,9,0,9,168,169,0,0,7,9,0,100,0.223034948,7.630107348,8.265953766,8.25401285,6.2312959
152,2009,19,6,5,6,1,5,140,141,0,0,7,10,0,0,0.042488014,6.191128849,6.538800488,6.963881149,6.308162647
153,2009,14,1,3,1,1,1,157,141,0,0,7,14,0,0,-0.082502348,6.029994128,7.636964083,7.67295083,6.605986089
154,2009,18,2,7,7,0,7,123,125,0,0,8,13,0,0,0.697040043,8.339717238,4.916393583,5.008230752,4.967953386
155,2009,19,4,6,4,1,4,166,113,0,0,2,4,0,100,-0.081347407,6.723409188,7.149676815,7.417422763,7.618113191
156,2009,16,2,3,3,0,3,173,176,0,0,9,9,0,0,-0.402952198,8.442920898,8.574446419,4.173646956,5.112357114
157,2009,16,9,1,9,1,1,119,122,0,0,18,6,0,0,-0.119825613,7.346548025,6.216479467,6.219074822,8.35065533
158,2009,15,7,4,4,0,7,173,161,0,0,12,8,100,0,-0.646661559,4.774469366,6.797645144,5.666823549,8.635483059
159,2009,15,5,3,5,1,3,129,132,0,0,4,8,0,0,-0.120208649,6.71994248,7.384459808,6.410804649,6.513664077
160,2009,15,6,1,6,1,6,145,143,0,0,7,18,0,0,0.090820763,7.691800606,5.669579965,7.580299358,9.170476484
161,2009,20,7,9,9,0,9,120,123,0,0,14,9,0,0,-0.391327906,5.726596711,7.048968156,5.385334644,6.240901008
162,2009,14,1,5,1,1,5,147,151,0,0,5,26,0,0,0.107979623,5.050625147,6.390201482,7.677972585,5.371537917
163,2009,18,2,4,4,0,4,160,166,0,0,7,7,0,0,0.063970189,8.393467701,5.427102953,4.743289836,6.947461307
164,2009,18,9,4,4,0,9,134,133,0,0,7,5,100,0,-0.052807516,6.948723549,6.507796869,6.503730523,7.331286836
165,2009,20,7,6,7,1,7,150,136,0,0,5,13,0,0,-0.521649296,3.917429785,6.267300893,5.760100697,6.916308096
166,2009,16,5,2,5,1,2,188,189,0,0,20,5,100,0,-0.487270548,6.052789754,7.596170828,4.903936272,5.700906669
167,2009,18,7,3,7,1,3,134,135,0,0,3,3,0,0,-0.003107766,6.465351658,7.245522221,6.064157159,5.425303034
